models,training_r2,testing_r2
AdaBoost Regressor,0.956420585857785,0.9340196913236413
GradientBoosting Regressor,0.9985410525691826,0.991913966377489
Random Forest Regressor,0.9991073131849253,0.9911631413784762
Linear Regression,0.9978179962034571,0.9968525877053719
K-Neighbors Regressor,0.996539622414599,0.9912764770668465
Decision Tree Regressor,1.0,0.9848808960097505
XGBoost Regressor,0.9999756293095522,0.9867816678595229
