iter	Passed	Remaining
411	3389	4836
412	3397	4828
413	3405	4819
414	3414	4813
415	3422	4804
416	3429	4794
417	3437	4785
418	3445	4777
419	3452	4768
420	3460	4759
421	3470	4753
422	3478	4744
423	3486	4736
424	3494	4727
425	3502	4718
426	3510	4710
427	3517	4700
428	3525	4692
429	3532	4682
430	3540	4674
431	3548	4665
432	3556	4656
433	3563	4647
434	3571	4638
435	3579	4630
436	3586	4621
437	3594	4612
438	3602	4603
439	3610	4595
440	3618	4587
441	3625	4577
442	3633	4568
443	3640	4558
444	3648	4550
445	3656	4541
446	3664	4533
447	3671	4523
448	3679	4515
449	3686	4506
450	3694	4497
451	3702	4488
452	3710	4480
453	3718	4472
454	3726	4463
455	3733	4454
456	3741	4445
457	3749	4437
458	3757	4428
459	3765	4420
460	3773	4412
461	3781	4403
462	3789	4395
463	3796	4385
464	3805	4377
465	3812	4368
466	3820	4360
467	3827	4351
468	3835	4342
469	3842	4333
470	3850	4324
471	3858	4315
472	3865	4307
473	3875	4300
474	3883	4292
475	3891	4283
476	3899	4275
477	3907	4267
478	3915	4258
479	3922	4249
480	3929	4240
481	3937	4231
482	3945	4223
483	3952	4213
484	3959	4204
485	3967	4196
486	3975	4188
487	3983	4179
488	3991	4170
489	3998	4161
490	4006	4153
491	4014	4145
492	4022	4136
493	4030	4128
494	4037	4119
495	4045	4110
496	4054	4103
497	4060	4093
498	4068	4084
499	4076	4076
500	4083	4067
501	4092	4059
502	4099	4050
503	4106	4041
504	4115	4033
505	4122	4025
506	4130	4016
507	4138	4008
508	4146	3999
509	4153	3991
510	4162	3982
511	4169	3973
512	4177	3965
513	4184	3956
514	4192	3948
515	4200	3939
516	4207	3931
517	4215	3922
518	4223	3914
519	4231	3905
520	4240	3898
521	4247	3889
522	4255	3881
523	4266	3875
524	4273	3866
525	4280	3857
526	4287	3848
527	4295	3840
528	4303	3831
529	4310	3822
530	4318	3814
531	4326	3805
532	4333	3797
533	4341	3788
534	4349	3780
535	4357	3771
536	4364	3763
537	4372	3754
538	4380	3746
539	4387	3737
540	4395	3729
541	4403	3721
542	4410	3712
543	4420	3705
544	4429	3697
545	4436	3689
546	4444	3680
547	4455	3675
548	4466	3669
549	4478	3664
550	4487	3656
551	4497	3650
552	4505	3641
553	4513	3633
554	4521	3625
555	4528	3616
556	4535	3607
557	4542	3598
558	4550	3589
559	4557	3580
560	4565	3572
561	4573	3564
562	4580	3555
563	4588	3546
564	4595	3537
565	4602	3528
566	4607	3518
567	4614	3509
568	4624	3503
569	4632	3494
570	4640	3486
571	4647	3477
572	4655	3469
573	4664	3462
574	4671	3453
575	4679	3444
576	4686	3436
577	4693	3426
578	4701	3418
579	4708	3409
580	4716	3401
581	4724	3393
582	4732	3384
583	4740	3376
584	4748	3368
585	4756	3360
586	4763	3351
587	4771	3343
588	4779	3335
589	4784	3324
590	4791	3315
591	4799	3308
592	4808	3300
593	4815	3291
594	4823	3282
595	4830	3274
596	4838	3266
597	4845	3257
598	4853	3249
599	4861	3240
600	4869	3232
601	4877	3224
602	4885	3216
603	4894	3208
604	4901	3200
605	4909	3192
606	4917	3183
607	4924	3174
608	4932	3167
609	4937	3156
610	4944	3148
611	4952	3139
612	4960	3131
613	4967	3122
614	4975	3114
615	4982	3106
616	4990	3097
617	4998	3089
618	5010	3083
619	5018	3075
620	5025	3067
621	5033	3058
622	5041	3050
623	5051	3043
624	5058	3035
625	5066	3027
626	5074	3018
627	5081	3010
628	5089	3001
629	5097	2993
630	5105	2985
631	5112	2977
632	5120	2968
633	5128	2960
634	5136	2952
635	5143	2943
636	5151	2935
637	5159	2927
638	5167	2919
639	5175	2911
640	5182	2902
641	5190	2894
642	5198	2886
643	5206	2878
644	5214	2869
645	5220	2861
646	5229	2852
647	5236	2844
648	5244	2836
649	5251	2827
650	5258	2819
651	5266	2810
652	5273	2802
653	5281	2794
654	5289	2785
655	5296	2777
656	5304	2769
657	5311	2760
658	5316	2750
659	5324	2742
660	5332	2734
661	5339	2726
662	5347	2718
663	5355	2710
664	5363	2701
665	5370	2693
666	5378	2685
667	5386	2677
668	5393	2668
669	5402	2660
670	5409	2652
671	5417	2644
672	5427	2637
673	5438	2630
674	5446	2622
675	5454	2614
676	5462	2605
677	5470	2598
678	5478	2590
679	5488	2582
680	5498	2575
681	5508	2568
682	5516	2560
683	5526	2553
684	5536	2545
685	5546	2538
686	5556	2531
687	5565	2523
688	5573	2515
689	5582	2507
690	5589	2499
691	5596	2491
692	5605	2483
693	5612	2474
694	5620	2466
695	5627	2457
696	5635	2449
697	5643	2441
698	5650	2433
699	5658	2425
700	5665	2416
701	5673	2408
702	5681	2400
703	5688	2391
704	5696	2383
705	5704	2375
706	5711	2367
707	5720	2359
708	5727	2350
709	5735	2342
710	5743	2334
711	5751	2326
712	5759	2318
713	5767	2310
714	5775	2302
715	5782	2293
716	5790	2285
717	5797	2277
718	5805	2268
719	5813	2260
720	5821	2252
721	5831	2245
722	5838	2236
723	5847	2229
724	5855	2220
725	5863	2213
726	5871	2204
727	5876	2195
728	5884	2187
729	5889	2178
730	5897	2170
731	5901	2160
732	5909	2152
733	5917	2144
734	5925	2136
735	5933	2128
736	5941	2120
737	5949	2111
738	5956	2103
739	5965	2095
740	5972	2087
741	5980	2079
742	5988	2071
743	5996	2063
744	6004	2055
745	6011	2046
746	6019	2038
747	6027	2030
748	6035	2022
749	6043	2014
750	6050	2006
751	6058	1998
752	6066	1990
753	6075	1982
754	6082	1973
755	6089	1965
756	6097	1957
757	6104	1949
758	6111	1940
759	6119	1932
760	6127	1924
761	6135	1916
762	6143	1908
763	6151	1900
764	6158	1891
765	6166	1883
766	6174	1875
767	6182	1867
768	6190	1859
769	6197	1851
770	6205	1843
771	6214	1835
772	6223	1827
773	6230	1819
774	6238	1811
775	6246	1802
776	6253	1794
777	6261	1786
778	6269	1778
779	6277	1770
780	6285	1762
781	6293	1754
782	6300	1746
783	6307	1737
784	6315	1729
785	6323	1721
786	6331	1713
787	6339	1705
788	6347	1697
789	6356	1689
790	6363	1681
791	6371	1673
792	6379	1665
793	6386	1657
794	6394	1648
795	6401	1640
796	6409	1632
797	6417	1624
798	6424	1616
799	6433	1608
800	6443	1600
801	6451	1592
802	6459	1584
803	6467	1576
804	6475	1568
805	6483	1560
806	6490	1552
807	6498	1544
808	6506	1536
809	6514	1527
810	6521	1519
811	6529	1511
812	6537	1503
813	6545	1495
814	6553	1487
815	6561	1479
816	6569	1471
817	6576	1463
818	6584	1455
819	6591	1447
820	6599	1438
821	6607	1430
822	6616	1423
823	6624	1414
824	6632	1406
825	6640	1398
826	6648	1390
827	6655	1382
828	6665	1374
829	6677	1367
830	6689	1360
831	6699	1352
832	6708	1344
833	6717	1336
834	6725	1328
835	6734	1321
836	6742	1312
837	6749	1304
838	6757	1296
839	6764	1288
840	6772	1280
841	6780	1272
842	6786	1263
843	6794	1255
844	6801	1247
845	6809	1239
846	6816	1231
847	6824	1223
848	6831	1215
849	6840	1207
850	6850	1199
851	6858	1191
852	6866	1183
853	6873	1175
854	6881	1166
855	6888	1158
856	6895	1150
857	6902	1142
858	6909	1134
859	6917	1126
860	6925	1118
861	6933	1109
862	6940	1101
863	6948	1093
864	6957	1085
865	6964	1077
866	6972	1069
867	6980	1061
868	6988	1053
869	6996	1045
870	7004	1037
871	7012	1029
872	7019	1021
873	7027	1013
874	7037	1005
875	7045	997
876	7053	989
877	7061	981
878	7069	973
879	7078	965
880	7086	957
881	7094	949
882	7104	941
883	7112	933
884	7119	925
885	7127	917
886	7134	908
887	7142	900
888	7149	892
889	7156	884
890	7164	876
891	7172	868
892	7180	860
893	7188	852
894	7195	844
895	7202	836
