,Model Name,R2_Score
0,Ridge,0.9964617842749055
1,Lasso,0.9964595895444313
2,Linear Regression,0.9964584091376764
3,XGBRegressor,0.9944095050815476
4,Random Forest Regressor,0.9928729261067386
5,CatBoosting Regressor,0.9923615768557915
6,K-Neighbors Regressor,0.9884941502109637
7,Decision Tree,0.980300888179936
8,AdaBoost Regressor,0.8846290721653642
